13:45:20.072 recv:<= 10 49 01 4a 16 
13:45:20.073 send:<= 10 0b 01 0c 16 
13:45:20.230 recv:<= 10 40 01 41 16 
13:45:20.230 send:<= 10 20 01 21 16 
13:45:20.487 recv:<= 68 0a 0a 68 73 01 64 01 06 01 00 00 00 14 f4 16 
13:45:20.487 send:<= 10 20 01 21 16 
13:45:20.644 recv:<= 10 5a 01 5b 16 
13:45:20.644 send:<= 68 0a 0a 68 28 01 46 01 04 01 00 00 00 00 75 16 
13:45:20.902 recv:<= 10 7a 01 7b 16 
13:45:20.903 send:<= 68 0a 0a 68 28 01 64 01 07 01 00 00 00 14 aa 16 
13:45:21.161 recv:<= 10 5a 01 5b 16 
13:45:21.161 send:<= 68 0b 0b 68 28 01 01 82 14 01 00 01 00 01 00 c3 16 
13:45:21.428 recv:<= 10 7a 01 7b 16 
13:45:21.428 send:<= 68 29 29 68 28 01 15 90 14 01 00 01 40 00 00 39 2b 78 2c 55 2c 47 4c 1a 4c 38 4c 75 00 93 00 8a 00 be 8f 62 90 30 90 60 90 60 83 ff ff 8c 16 
13:45:21.970 recv:<= 10 5a 01 5b 16 
13:45:21.970 send:<= 68 0a 0a 68 08 01 64 01 0a 01 00 00 00 14 8d 16 
13:45:22.227 recv:<= 10 7b 01 7c 16 
13:45:22.227 send:<= 10 09 01 0a 16 
13:45:22.385 recv:<= 10 5b 01 5c 16 
13:45:22.385 send:<= 10 09 01 0a 16 
13:45:22.541 recv:<= 10 7b 01 7c 16 
13:45:22.541 send:<= 10 09 01 0a 16 
13:45:22.698 recv:<= 10 5b 01 5c 16 
13:45:22.698 send:<= 10 09 01 0a 16 
13:45:22.855 recv:<= 10 7b 01 7c 16 
13:45:22.855 send:<= 10 09 01 0a 16 
13:45:23.012 recv:<= 10 5b 01 5c 16 
13:45:23.012 send:<= 10 09 01 0a 16 
13:45:23.169 recv:<= 10 7b 01 7c 16 
13:45:23.169 send:<= 10 09 01 0a 16 
13:45:23.326 recv:<= 10 5b 01 5c 16 
13:45:23.326 send:<= 10 09 01 0a 16 
13:45:23.481 recv:<= 10 7b 01 7c 16 
13:45:23.481 send:<= 10 09 01 0a 16 
13:45:23.638 recv:<= 10 5b 01 5c 16 
13:45:23.638 send:<= 10 09 01 0a 16 
13:45:23.795 recv:<= 10 7b 01 7c 16 
13:45:23.795 send:<= 10 09 01 0a 16 
13:45:24.060 recv:<= 68 0b 0b 68 53 01 6a 01 06 01 00 00 00 25 5e 49 16 
13:45:24.101 send:<= 10 20 01 21 16 
13:45:24.258 recv:<= 10 7a 01 7b 16 
13:45:24.258 send:<= 68 0b 0b 68 08 01 6a 01 07 01 00 00 00 c2 5e 9c 16 
13:45:24.634 recv:<= 68 0b 0b 68 53 01 6a 01 03 01 00 00 00 e9 00 ac 16 
13:45:24.634 send:<= 10 00 01 01 16 
13:45:24.790 recv:<= 10 7b 01 7c 16 
13:45:24.790 send:<= 10 09 01 0a 16 
13:45:24.947 recv:<= 10 5b 01 5c 16 
13:45:24.947 send:<= 10 09 01 0a 16 
13:45:25.104 recv:<= 10 7b 01 7c 16 
13:45:25.104 send:<= 10 09 01 0a 16 
13:45:25.262 recv:<= 10 5b 01 5c 16 
13:45:25.263 send:<= 10 09 01 0a 16 
13:45:25.419 recv:<= 10 7b 01 7c 16 
13:45:25.419 send:<= 10 09 01 0a 16 
13:45:25.576 recv:<= 10 5b 01 5c 16 
13:45:25.576 send:<= 10 09 01 0a 16 
13:45:25.733 recv:<= 10 7b 01 7c 16 
13:45:25.733 send:<= 10 09 01 0a 16 
13:45:25.890 recv:<= 10 5b 01 5c 16 
13:45:25.891 send:<= 10 09 01 0a 16 
13:45:26.203 recv:<= 68 10 10 68 73 01 67 01 06 01 00 00 00 2f 66 2d 0d 06 0c 13 d7 16 
13:45:26.159 send:<= 68 10 10 68 00 01 67 01 07 01 00 00 00 2f 66 2d 0d 06 0b 13 64 16 
13:45:26.471 recv:<= 10 5b 01 5c 16 
13:45:26.471 send:<= 10 09 01 0a 16 
13:45:26.629 recv:<= 10 7b 01 7c 16 
13:45:26.629 send:<= 10 09 01 0a 16 
13:45:26.786 recv:<= 10 5b 01 5c 16 
13:45:26.786 send:<= 10 09 01 0a 16 
13:45:26.943 recv:<= 10 7b 01 7c 16 
13:45:26.943 send:<= 10 09 01 0a 16 
13:45:27.100 recv:<= 10 5b 01 5c 16 
13:45:27.100 send:<= 10 09 01 0a 16 
13:45:27.256 recv:<= 10 7b 01 7c 16 
13:45:27.256 send:<= 10 09 01 0a 16 
13:45:27.414 recv:<= 10 5b 01 5c 16 
13:45:27.414 send:<= 10 09 01 0a 16 
13:45:27.570 recv:<= 10 7b 01 7c 16 
13:45:27.570 send:<= 10 09 01 0a 16 
13:45:27.726 recv:<= 10 5b 01 5c 16 
13:45:27.726 send:<= 10 09 01 0a 16 
13:45:27.883 recv:<= 10 7b 01 7c 16 
13:45:27.883 send:<= 10 09 01 0a 16 
13:45:28.041 recv:<= 10 5b 01 5c 16 
13:45:28.041 send:<= 10 09 01 0a 16 
13:45:28.197 recv:<= 10 7b 01 7c 16 
13:45:28.197 send:<= 10 09 01 0a 16 
13:45:28.355 recv:<= 10 5b 01 5c 16 
13:45:28.355 send:<= 10 09 01 0a 16 
13:45:28.512 recv:<= 10 7b 01 7c 16 
13:45:28.512 send:<= 10 09 01 0a 16 
13:45:28.670 recv:<= 10 5b 01 5c 16 
13:45:28.670 send:<= 10 09 01 0a 16 
13:45:28.825 recv:<= 10 7b 01 7c 16 
13:45:28.825 send:<= 10 09 01 0a 16 
13:45:28.982 recv:<= 10 5b 01 5c 16 
13:45:28.982 send:<= 10 09 01 0a 16 
13:45:29.138 recv:<= 10 7b 01 7c 16 
13:45:29.138 send:<= 10 09 01 0a 16 
13:45:29.295 recv:<= 10 5b 01 5c 16 
13:45:29.295 send:<= 10 09 01 0a 16 
13:45:29.452 recv:<= 10 7b 01 7c 16 
13:45:29.452 send:<= 10 09 01 0a 16 
13:45:29.609 recv:<= 10 5b 01 5c 16 
13:45:29.609 send:<= 10 09 01 0a 16 
13:45:29.766 recv:<= 10 7b 01 7c 16 
13:45:29.766 send:<= 10 09 01 0a 16 
13:45:29.923 recv:<= 10 5b 01 5c 16 
13:45:29.923 send:<= 10 09 01 0a 16 
13:45:30.079 recv:<= 10 7b 01 7c 16 
13:45:30.079 send:<= 10 09 01 0a 16 
13:45:30.236 recv:<= 10 5b 01 5c 16 
13:45:30.236 send:<= 10 09 01 0a 16 
13:45:30.393 recv:<= 10 7b 01 7c 16 
13:45:30.393 send:<= 10 09 01 0a 16 
13:45:30.551 recv:<= 10 5b 01 5c 16 
13:45:30.551 send:<= 10 09 01 0a 16 
