15:18:27.323 recv:5<= 10 49 01 4a 16 
15:18:27.323 send:5<= 10 0b 01 0c 16 
15:18:27.833 recv:5<= 10 40 01 41 16 
15:18:27.833 send:5<= 10 20 01 21 16 
15:18:28.340 recv:5<= 10 7a 01 7b 16 
15:18:28.340 send:16<= 68 0a 0a 68 08 01 46 01 04 01 00 00 00 00 55 16 
15:18:28.846 recv:5<= 10 5b 01 5c 16 
15:18:28.846 send:5<= 10 09 01 0a 16 
15:18:29.454 recv:16<= 68 0a 0a 68 73 01 64 01 06 01 00 00 00 14 f4 16 
15:18:29.454 send:5<= 10 20 01 21 16 
15:18:29.859 recv:5<= 10 5a 01 5b 16 
15:18:29.859 send:16<= 68 0a 0a 68 28 01 64 01 07 01 00 00 00 14 aa 16 
15:18:30.365 recv:5<= 10 7a 01 7b 16 
15:18:30.365 send:17<= 68 0b 0b 68 28 01 01 82 14 01 00 01 00 01 00 c3 16 
15:18:30.870 recv:5<= 10 5a 01 5b 16 
15:18:30.870 send:47<= 68 29 29 68 28 01 15 90 14 01 00 01 40 00 00 39 2b 78 2c 55 2c 47 4c 1a 4c 38 4c 75 00 93 00 8a 00 be 8f 62 90 30 90 60 90 60 83 ff ff 8c 16 
15:18:31.878 recv:5<= 10 7a 01 7b 16 
15:18:31.878 send:16<= 68 0a 0a 68 08 01 64 01 0a 01 00 00 00 14 8d 16 
15:18:32.540 recv:22<= 68 10 10 68 53 01 67 01 06 01 00 00 00 1b 7f 52 0f a6 8c 93 83 16 
15:18:32.539 send:22<= 68 10 10 68 00 01 67 01 07 01 00 00 00 1b 7f 12 0f 06 0b 13 50 16 
15:18:32.888 recv:5<= 10 7b 01 7c 16 
15:18:32.888 send:5<= 10 09 01 0a 16 
15:18:33.395 recv:5<= 10 5b 01 5c 16 
15:18:33.395 send:5<= 10 09 01 0a 16 
15:18:33.901 recv:5<= 10 7b 01 7c 16 
15:18:33.901 send:5<= 10 09 01 0a 16 
15:18:34.408 recv:5<= 10 5b 01 5c 16 
15:18:34.408 send:5<= 10 09 01 0a 16 
15:18:34.914 recv:5<= 10 7b 01 7c 16 
15:18:34.914 send:5<= 10 09 01 0a 16 
15:18:35.418 recv:5<= 10 5b 01 5c 16 
15:18:35.418 send:5<= 10 09 01 0a 16 
15:18:35.924 recv:5<= 10 7b 01 7c 16 
15:18:35.924 send:5<= 10 09 01 0a 16 
15:18:36.428 recv:5<= 10 5b 01 5c 16 
15:18:36.428 send:5<= 10 09 01 0a 16 
15:18:36.935 recv:5<= 10 7b 01 7c 16 
15:18:36.935 send:5<= 10 09 01 0a 16 
15:18:37.441 recv:5<= 10 5b 01 5c 16 
15:18:37.441 send:5<= 10 09 01 0a 16 
15:18:37.946 recv:5<= 10 7b 01 7c 16 
15:18:37.946 send:5<= 10 09 01 0a 16 
15:18:38.451 recv:5<= 10 5b 01 5c 16 
15:18:38.451 send:5<= 10 09 01 0a 16 
15:18:38.955 recv:5<= 10 7b 01 7c 16 
15:18:38.955 send:5<= 10 09 01 0a 16 
15:18:39.459 recv:5<= 10 5b 01 5c 16 
15:18:39.459 send:5<= 10 09 01 0a 16 
15:18:39.964 recv:5<= 10 7b 01 7c 16 
15:18:39.964 send:5<= 10 09 01 0a 16 
15:18:40.469 recv:5<= 10 5b 01 5c 16 
15:18:40.469 send:5<= 10 09 01 0a 16 
15:18:40.973 recv:5<= 10 7b 01 7c 16 
15:18:40.973 send:5<= 10 09 01 0a 16 
15:18:41.476 recv:5<= 10 5b 01 5c 16 
15:18:41.476 send:5<= 10 09 01 0a 16 
15:18:41.979 recv:5<= 10 7b 01 7c 16 
15:18:41.979 send:5<= 10 09 01 0a 16 
15:18:42.483 recv:5<= 10 5b 01 5c 16 
15:18:42.484 send:5<= 10 09 01 0a 16 
15:18:42.988 recv:5<= 10 7b 01 7c 16 
15:18:42.988 send:5<= 10 09 01 0a 16 
15:18:43.493 recv:5<= 10 5b 01 5c 16 
15:18:43.493 send:5<= 10 09 01 0a 16 
15:18:43.997 recv:5<= 10 7b 01 7c 16 
15:18:43.997 send:5<= 10 09 01 0a 16 
15:18:44.501 recv:5<= 10 5b 01 5c 16 
15:18:44.501 send:5<= 10 09 01 0a 16 
15:18:45.005 recv:5<= 10 7b 01 7c 16 
15:18:45.005 send:5<= 10 09 01 0a 16 
15:18:45.511 recv:5<= 10 5b 01 5c 16 
15:18:45.511 send:5<= 10 09 01 0a 16 
15:18:46.014 recv:5<= 10 7b 01 7c 16 
15:18:46.014 send:5<= 10 09 01 0a 16 
15:18:46.518 recv:5<= 10 5b 01 5c 16 
15:18:46.518 send:5<= 10 09 01 0a 16 
15:18:47.022 recv:5<= 10 7b 01 7c 16 
15:18:47.022 send:5<= 10 09 01 0a 16 
15:18:47.526 recv:5<= 10 5b 01 5c 16 
15:18:47.526 send:5<= 10 09 01 0a 16 
15:18:48.030 recv:5<= 10 7b 01 7c 16 
15:18:48.030 send:5<= 10 09 01 0a 16 
15:18:48.535 recv:5<= 10 5b 01 5c 16 
15:18:48.535 send:5<= 10 09 01 0a 16 
15:18:49.039 recv:5<= 10 7b 01 7c 16 
15:18:49.039 send:5<= 10 09 01 0a 16 
